STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
MINNESOTA,1999,July,Hail,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
MINNESOTA,1999,July,Thunderstorm Wind,0,0,0,0,
ILLINOIS,1999,July,Heat,0,0,0,0,
MICHIGAN,1999,July,Thunderstorm Wind,0,0,0,0,10K
MICHIGAN,1999,July,Thunderstorm Wind,0,0,0,0,10K
MICHIGAN,1999,July,Thunderstorm Wind,0,0,0,0,10K
ILLINOIS,1999,July,Heat,0,0,0,0,
MICHIGAN,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,25K
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,10K
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,25K
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,25K
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
ILLINOIS,1999,July,Heat,0,0,0,0,
OKLAHOMA,1999,August,Thunderstorm Wind,0,0,0,0,.1K
OKLAHOMA,1999,June,Thunderstorm Wind,0,0,0,0,1K
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
OKLAHOMA,1999,June,Lightning,0,0,0,0,.5K
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
OKLAHOMA,1999,June,Hail,0,0,0,0,
ILLINOIS,1999,July,Heat,0,0,0,0,
ILLINOIS,1999,July,Heat,0,0,0,0,
SOUTH CAROLINA,1999,September,High Wind,0,0,0,0,
ILLINOIS,1999,July,Heat,0,0,0,0,
ILLINOIS,1999,July,Heat,0,0,0,0,
NEW MEXICO,1999,July,Thunderstorm Wind,0,0,0,0,
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,
OKLAHOMA,1999,June,Flash Flood,0,0,0,0,
OKLAHOMA,1999,August,Hail,0,0,0,0,
OKLAHOMA,1999,August,Thunderstorm Wind,0,0,0,0,.1K
ARKANSAS,1999,August,Thunderstorm Wind,0,0,0,0,.5K
ILLINOIS,1999,July,Heat,0,0,0,0,
ALASKA,1999,August,Heavy Rain,0,0,0,0,
TEXAS,1999,June,Flash Flood,0,0,0,0,
OKLAHOMA,1999,August,Thunderstorm Wind,0,0,0,0,1K
NEW YORK,1999,July,Thunderstorm Wind,12,0,0,0,50K
WISCONSIN,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Flash Flood,0,0,0,0,.5M
WISCONSIN,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
WISCONSIN,1999,July,Hail,0,0,0,0,
WISCONSIN,1999,July,Thunderstorm Wind,0,0,0,0,
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,50K
OREGON,1999,October,Cold/Wind Chill,0,0,0,0,
